ID,NPV,Baseline,Discount,Unique,AVG
ACR173,,,,FALSE,
ACR182,,,,FALSE,
ACR189,,,,FALSE,
ACR192,,,,FALSE,
ACR199,,,,FALSE,
ACR200,1312239,2015,8,FALSE,
ACR202,,,,FALSE,
ACR210,,,,TRUE,27921.13
ACR211,34407364,2013,4.5,FALSE,
ACR247,18665113,2019,6,TRUE,118021.57
ACR248,124770264,2016,6,FALSE,
ACR249,,,,FALSE,
ACR255,116945217,2016,6,FALSE,
ACR256,4887856,2016,6,FALSE,
ACR257,7450678,2019,6,TRUE,4854.56
ACR260,,,,FALSE,
ACR262,1383016,2014,8,FALSE,
ACR265,26875000,2015,6,FALSE,19011.60
ACR266,20985000,2015,6,FALSE,22620.60
ACR267,154966901,2014,6,FALSE,
ACR268,229965000,2017,6,FALSE,274753.36
ACR269,153945000,2018,6,FALSE,174314.97
ACR273,,,,FALSE,
ACR274,146154,2017,6,FALSE,
ACR276,59217221,2014,6,FALSE,
ACR279,,,,FALSE,
ACR280,54412846,2014,6,FALSE,
ACR281,6954494,2014,6,FALSE,
ACR282,,,,FALSE,
ACR284,5883601,2017,6,FALSE,
ACR287,17560000,2017,6,FALSE,23449.46
ACR288,,,,FALSE,
ACR292,6485970,2016,8,FALSE,
ACR293,5924017,2017,6,TRUE,17156.08
ACR303,64575013,2016,6,FALSE,
ACR324,37844152,2016,6,FALSE,
ACR360,8747245,2017,5,FALSE,
ACR361,,,,FALSE,
ACR371,51485508,2014,6,FALSE,
ACR373,28863305,2014,6,FALSE,
ACR377,,,,FALSE,
ACR378,,,,FALSE,
ACR393,7674460,2014,6,TRUE,4397
ACR395,52326415,2019,6,FALSE,
ACR413,723820,2020,5,TRUE,40035
ACR416,41733018,2020,6,FALSE,
ACR417,103032970,2014,6,FALSE,
ACR420,15634058,2018,6,TRUE,25145
ACR423,,,,TRUE,468.76
ACR425,14021570,2019,6,FALSE,
ACR427,91638233,2018,7,FALSE,
ACR428,7140934,2019,6,TRUE,23739
ACR437,,,,TRUE,500131.74
ACR439,,,,TRUE,
ACR458,20642576,2019,6,FALSE,
ACR549,6222437,2019,6,TRUE,23000
CAR1013,6000001,2015,6,FALSE,
CAR1032,,,,FALSE,
CAR1041,,,,TRUE,21388.85
CAR1046,,,,TRUE,14315.98
CAR1063,,,,TRUE,36312.08
CAR1066,,,,TRUE,15749.75
CAR1067,,,,TRUE,2664.95
CAR1070,,,,FALSE,
CAR1086,,,,FALSE,
CAR1088,,,,FALSE,
CAR1094,4129203,2014,6.25,FALSE,
CAR1095,,,,FALSE,
CAR1098,13967987,2016,7,FALSE,
CAR1099,12192545,2016,7,FALSE,
CAR1100,19274274,2016,7,FALSE,
CAR1102,,,,FALSE,
CAR1103,17199639,2014,8,FALSE,
CAR1104,,,,FALSE,
CAR1109,16800000,2014,,FALSE,
CAR1130,8482473,2014,6,FALSE,
CAR1134,,,,TRUE,31661.26
CAR1139,34676084,2015,8,FALSE,
CAR1140,25661409,2015,10,FALSE,
CAR1141,,,,FALSE,
CAR1147,,,,FALSE,
CAR1159,1710819,2016,6,FALSE,
CAR1160,1500807,2016,6,FALSE,
CAR1161,,,,TRUE,1038.95
CAR1162,,,,TRUE,2773.07
CAR1173,,,,FALSE,
CAR1174,,,,FALSE,
CAR1175,,,,FALSE,
CAR1180,15941776,2015,8,FALSE,
CAR1183,,,,FALSE,
CAR1190,16533121,2017,6,TRUE,10755.10
CAR1191,23794716,2015,6,FALSE,
CAR1197,16947694,2017,6,FALSE,
CAR1204,2282043,2017,6,TRUE,6898.44
CAR1205,8187178,2018,6,FALSE,
CAR1208,12892084,2017,6,FALSE,
CAR1209,6481743,2014,6,FALSE,
CAR1213,25060171,2017,6,FALSE,
CAR1215,60794816,2017,6,FALSE,
CAR1217,6437126,2015,6,FALSE,
CAR1257,28809088,2018,6,FALSE,
CAR1264,,,,FALSE,
CAR1292,,,,TRUE,
CAR1293,,,,TRUE,
CAR1297,2981530,2019,8,TRUE,6990.85
CAR1313,5816439,2018,8,TRUE,2333.19
CAR1314,55419403,2019,8,FALSE,
CAR1329,,,,TRUE,7937.35
CAR1330,,,,TRUE,2914.86
CAR1332,5513656,2019,6,TRUE,11168.87
CAR1336,18883323,2019,6,TRUE,62596.44
CAR1339,9361566,2019,6,TRUE,41897.19
CAR1368,,,,TRUE,10441.02
CAR1373,,,,TRUE,60924.36
CAR1374,,,,TRUE,51789.03
CAR1391,61858609,2020,6,TRUE,9241
CAR1436,,,,TRUE,73875.10
CAR973,,,,FALSE,
CAR993,,,,FALSE,
VCSOPR10,,,,TRUE,4807.77